id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
119008,UCSB,IZC,,PreservedSpecimen,3e03b6c1-8590-4623-8d69-a3de8b1b0b61,UCSB-IZC00024194,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,5544,"Mayr, 1861",Temnothorax,,,,"Zach Brown",2019,,,,,,"UCSB Arthropod Survey",,,,2016-04-16,2016,4,16,107,,"April 14-21, 2016",,"Creek/wetland-salt marsh edge, before restoration",,,M2-Site1,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.42113226,-119.8832972,WGS84,,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-28 12:36:48",,1,urn:uuid:3e03b6c1-8590-4623-8d69-a3de8b1b0b61,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119008
119084,UCSB,IZC,,PreservedSpecimen,27dbb74b-0909-4723-81db-0fd67cb04a36,UCSB-IZC00023988,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,5544,"Mayr, 1861",Temnothorax,,,,"Elaine Tan",2019,,,,,,"UCSB Arthropod Survey",,,,2016-05-03,2016,5,3,124,,"June 3-10, 2016",,"Willow/Pine - Grassland, before restoration",,,M2-Site3,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41803426,-119.8765084,WGS84,10,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:48:25",,1,urn:uuid:27dbb74b-0909-4723-81db-0fd67cb04a36,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119084
119085,UCSB,IZC,,PreservedSpecimen,322c6658-fe25-411f-ba97-671dce941cf6,UCSB-IZC00023972,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,2763,"Mayr, 1855",Monomorium,,,,"Elaine Tan",2019,,,,,,"UCSB Arthropod Survey",,,,2016-05-03,2016,5,3,124,,"June 3-10, 2016",,"Willow/Pine - Grassland, before restoration",,,M2-Site3,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41803426,-119.8765084,WGS84,10,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:41:20",,1,urn:uuid:322c6658-fe25-411f-ba97-671dce941cf6,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119085
119090,UCSB,IZC,,PreservedSpecimen,b3c00b47-3d29-4200-98e0-bb158e65cf00,UCSB-IZC00023901,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,2763,"Mayr, 1855",Monomorium,,,,"Elaine Tan",2019,,,,,,"UCSB Arthropod Survey",,,,2016-05-03,2016,5,3,124,,"June 3-10, 2016",,"Willow/Pine - Grassland, before restoration",,,M2-Site3,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41803426,-119.8765084,WGS84,,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:39:59",,1,urn:uuid:b3c00b47-3d29-4200-98e0-bb158e65cf00,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119090
119093,UCSB,IZC,,PreservedSpecimen,3988c872-7d16-4336-8a2f-87fdef6514cd,UCSB-IZC00023958,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,5544,"Mayr, 1861",Temnothorax,,,,"Elaine Tan",2019,,,,,,"UCSB Arthropod Survey",,,,2016-05-03,2016,5,3,124,,"June 3-10, 2016",,"Willow/Pine - Grassland, before restoration",,,M2-Site3,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41803426,-119.8765084,WGS84,10,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:52:11",,1,urn:uuid:3988c872-7d16-4336-8a2f-87fdef6514cd,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119093
119094,UCSB,IZC,,PreservedSpecimen,ebbf24c2-52c9-46c2-b250-e40915679ea5,UCSB-IZC00023947,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,5544,"Mayr, 1861",Temnothorax,,,,"Elaine Tan",2019,,,,,,"UCSB Arthropod Survey",,,,2016-05-03,2016,5,3,124,,"June 3-10, 2016",,"Willow/Pine - Grassland, before restoration",,,M2-Site3,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41803426,-119.8765084,WGS84,10,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:53:20",,1,urn:uuid:ebbf24c2-52c9-46c2-b250-e40915679ea5,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119094
119095,UCSB,IZC,,PreservedSpecimen,4fd03ff1-e3ad-4610-b29b-49c5d4c73ea6,UCSB-IZC00023951,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,5544,"Mayr, 1861",Temnothorax,,,,"Elaine Tan",2019,,,,,,"UCSB Arthropod Survey",,,,2016-05-03,2016,5,3,124,,"June 3-10, 2016",,"Willow/Pine - Grassland, before restoration",,,M2-Site3,,,,,Alate,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41803426,-119.8765084,WGS84,10,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:49:34",,1,urn:uuid:4fd03ff1-e3ad-4610-b29b-49c5d4c73ea6,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119095
119436,UCSB,IZC,,PreservedSpecimen,2995c6a1-985d-4aa0-8e52-9ee8a22cdb0c,UCSB-IZC00023704,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Temnothorax,5544,"Mayr, 1861",Temnothorax,,,,"Z. Brown",2019,,,,,,"UCSB Arthropod Survey",,,,2016-06-24,2016,6,24,176,,"Jun 24-Jul 2, 2016",,"Willow/Cottonwood/sandy soil area, before restoration",,,M2-Site4,,,,,,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41836616,-119.8817133,WGS84,,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-03-14 10:10:51",,1,urn:uuid:2995c6a1-985d-4aa0-8e52-9ee8a22cdb0c,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119436
119466,UCSB,IZC,,PreservedSpecimen,5810e240-4f0c-43dc-8967-da1973216509,UCSB-IZC00023529,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,"Linepithema humile",5028,"(Mayr, 1868)",Linepithema,humile,,,"Zach Brown",2019,,,,,,"UCSB Arthropod Survey",,,,2016-07-01,2016,7,1,183,,"Jul 1-8, 2016",,"Willow/Cottonwood/sandy soil area, before restoration",,,M2-Site4,,,,,,,,Adult,,15,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41836616,-119.8817133,WGS84,,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-28 16:42:49",,1,urn:uuid:5810e240-4f0c-43dc-8967-da1973216509,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119466
119758,UCSB,IZC,,PreservedSpecimen,e625b572-a3bf-4dba-819a-61753ca01a5b,UCSB-IZC00023457,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,"Linepithema humile",5028,"(Mayr, 1868)",Linepithema,humile,,,"Zach Brown",2019,,,,,,"UCSB Arthropod Survey",,,,2016-07-01,2016,7,1,183,,"Jul 1-8, 2016",,"Willow/Cottonwood/sandy soil area, before restoration",,,M2-Site4,,,,,,,,Adult,,1,"Malaise Trap",,Pinned,"United States",California,"Santa Barbara",Goleta,"UCSB North Campus Open Space",,0,,34.41836616,-119.8817133,WGS84,,,,,GPS,,"Entered coordinates from GPS and may differ from what is on label. Uploaded from spreadsheet.",,,,,,,,,,"2019-02-22 15:23:21",,1,urn:uuid:e625b572-a3bf-4dba-819a-61753ca01a5b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=119758
